COD_DANE;NOMBRE_INSTITUCION;CORREO_INSTITUCIONAL;DIRECCION;SEDE_PRINCIPAL;COD_SEDE_PRINCIPAL;LONGITUD;LATITUD;ESTADO;ID_DEPARTAMENTO;DEPARTAMENTO;ID_MUNICIPIO;MUNICIPIO;CALENDARIO;NATURALEZA;SECTOR;ZONA;JORNADA;NIVEL;TELEFONO;TIPO_TELEFONO
105001000001;INSTITUCION EDUCATIVA FE Y ALEGRIA JOSE MARIA VELAZ;;CLL 121 # 48-67;S;105001000001;-75,550298341;6,303908942;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;4644146;FIJO
105001000043;INSTITUCION EDUCATIVA BARRIO STA CRUZ;;CLL 103 # 43 A 23;S;105001000043;-75,550379722;6,292219118;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;5285220;FIJO
105001000094;INSTITUCION EDUCATIVA COSMO SCHOOLS SEDE ARANJUEZ;ODANDRESA.VILLA@MEDELLIN.GOV.CO;CR 51 B # 91-95;S;105001000094;-75,562779036;6,282778694;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;ORGANIZACIÓN SOLIDARIA SIN FINES DE LUCRO;NO OFICIAL;URBANO;MAÑANA;EDUCACIÓN BÁSICA SECUNDARIA;3103016666;CELULAR
105001000108;INSTITUCION EDUCATIVA CENT FORMATIVO DE ANTIOQUIA CEFA;;CLL 50 # 41-55;S;105001000108;-75,561766573;6,246276856;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;2393774;FIJO
105001000132;INSTITUCION EDUCATIVA JOSE MARIA BERNAL;;CR 70 A # 13 A 19;S;105001000132;-75,593627225;6,22032997;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;3432086;FIJO
105001000141;INSTITUCION EDUCATIVA PBRO CAMILO TORRES;;CR 49 # 83-34;S;105001000141;-75,557332999;6,276318786;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;2338044;FIJO
105001000175;COLEGIO G ABRIEL RESTREPO MORENO;IGRPOMOR@EDUCAME.GO.CO;CR 39 A # 85-59;S;105001000175;-75,548461701;6,276818567;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;2631645;FIJO
105001002852;ESCUELA URB STA BERNARDITA;;CR 40 # 85 A 20;N;105001000175;-75,548544264;6,277368277;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;2632428;FIJO
105001000205;INSTITUCION EDUCATIVA SAN AGUSTIN;;CLL 88 A # 51 B 91;S;105001000205;-75,563036648;6,279873605;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;2630607;FIJO
105001000256;INSTITUCION EDUCATIVA HECTOR ABAD GOMEZ;;CLL 50 # 39-65;S;105001000256;-75,560354568;6,245699243;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;2161258;FIJO
105001026158;SECCION DARIO LONDOÑO CARDONA;;CLL 44 # 43-96;N;105001000256;-75,565618784;6,243449099;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;NOCTURNA;EDUCACIÓN BÁSICA SECUNDARIA;2623588;FIJO
105001000353;INSTITUCION EDUCATIVA JUAN DE LA CRUZ POSADA;;CLL 62 # 39-22;S;105001000353;-75,554519257;6,253825721;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;2549659;FIJO
105001002577;COLEGIO AGUSTIN NIETO CABALLERO;WWW.IANIETO@EDUCAME.GOV.CO;CRA 40 # 59 A 21;N;105001000353;-75,557078876;6,252481841;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA SECUNDARIA;2549133;FIJO
105001002836;ESCUELA FCO ANTONIO URIBE;;CLL 66 # 39-75;N;105001000353;-75,551658026;6,257955237;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA SECUNDARIA;2545366;FIJO
105001003158;ESCUELA HIPOLITO LONDOÑO MESA;;CLL 59 # 39-54;N;105001000353;-75,5562237785;6,25244994208;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA PRIMARIA;2925480;FIJO
105001000396;INSTITUCION EDUCATIVA JOSE ACEVEDO Y GOMEZ;IJAGACEVED@EDUCAME.GOV.CO;CLL 8 SUR # 52 C 20;S;105001000396;-75,5892116011;6,20211099297;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;2552996;FIJO
105001000477;ESCUELA REPUBLICA DE COSTA RICA;;CR 52 # 7 SUR 23;N;105001000396;-75,5882514329;6,20253862673;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;2852538;FIJO
105001008231;ESCUELA LA COLINA;;CR 52 C # 12 A SUR 23;N;105001000396;-75,5919586256;6,19741378409;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA PRIMARIA;2550356;FIJO
105001015105;ESCUELA GABRIELA MISTRAL;IGMISTRA@EDUCAME.GOV.CO;CLL 10 SUR # 52-09;N;105001000396;-75,5894871934;6,19956997308;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;2551446;FIJO
105001000418;INSTITUCION EDUCATIVA LA MILAGROSA;;CR 29 # 41-14;S;105001000418;-75,554460103;6,235157417;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN MEDIA;2215773;FIJO
105001002381;ESCUELA STO TOMAS DE AQUINO;;CR 33 # 36 A 28;N;105001000418;-75,558959805;6,233571738;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;UNICA;EDUCACIÓN BÁSICA SECUNDARIA;2163229;FIJO
105001000485;INSTITUCION EDUCATIVA LA SALLE CAMPO AMOR;;CR 65 B # 4-49;S;105001000485;-75,587787104;6,212623942;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;ESPECIAL;EDUCACIÓN MEDIA;2851571;FIJO
105001000493;INSTITUCION EDUCATIVA RAMON GIRALDO CEBALLOS;;CLL 21 # 82 A 56;S;105001000493;-75,646684;6,172901;ACTIVA;05;ANTIOQUIA;05001;MEDELLÍN;A;OFICIAL;OFICIAL;URBANO;ESPECIAL;EDUCACIÓN MEDIA;2383946;FIJO
